Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Georgia/5/2018	EPI1181559	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/SouthCarolina/11628/2020	EPI1730094	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Dnipropetrovsk/438/2015	EPI625611	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	centers_for_disease_control_and_prevention
A/Ghana/DILI-15-0661/2015	EPI718189	university_of_ghana	crick_worldwide_influenza_centre
A/Latvia/11-003858/2019	EPI1670467	state_agency,_infectology_center_of_latvia	crick_worldwide_influenza_centre
A/Afghanistan/861/2016	EPI827963	national_public_health_laboratory	centers_for_disease_control_and_prevention
A/Ontario/RV2270/2017	EPI1075154	ontario_agency_for_health_protection_and_promotion_(oahpp)	public_health_agency_of_canada_(phac)
A/Stockholm/95/2009	EPI223152	?	swedish_institute_for_infectious_disease_control
A/Lebanon/9L-09/2009	EPI320585	?	other_database_import
A/Christchurch/23/2010	EPI279092	canterbury_health_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Mexico/5698/2012	EPI391297	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/BurkinaFaso/906/2018	EPI1313786	irss	centers_for_disease_control_and_prevention
